Region,Date,NewCases,Humidity_x,PopulationDensity,OutbreakRisk,Temperature,Humidity_y,Rainfall
Thiruvananthapuram,2023-01-07,88,58,8800,0,25,58,7.5
Visakhapatnam,2023-01-07,117,67,8000,0,27,67,2.8
Vijayawada,2023-01-07,183,75,7600,1,32,75,5.5
Guwahati,2023-01-07,96,58,6000,0,23,58,13.7
Patna,2023-01-07,166,51,8200,0,12,51,4.4
Ranchi,2023-01-07,61,75,5500,0,26,75,1.8
Bhubaneswar,2023-01-07,245,42,7000,0,18,42,2.0
Raipur,2023-01-07,173,71,6200,0,17,71,0
Chandigarh,2023-01-07,226,56,9800,0,16,56,2.4
Dehradun,2023-01-07,176,55,7200,0,0,55,3.0
Shimla,2023-01-07,74,34,5000,0,0,34,1.0
Srinagar,2023-01-07,185,42,6500,0,0,42,10.1
Jammu,2023-01-07,28,32,7800,0,14,32,1.0
Goa,2023-01-07,211,54,2500,0,17,54,5.3
Mangalore,2023-01-07,243,70,6800,1,27,70,9.3
Mysore,2023-01-07,97,51,7500,0,22,51,10.5
Pondicherry,2023-01-07,113,62,8000,0,23,62,11.6
Madurai,2023-01-07,254,49,7200,0,33,49,0
Mumbai,2023-01-08,187,70,20000,1,24,70,13.8
Delhi,2023-01-08,55,54,15000,0,18,54,1.0
Chennai,2023-01-08,144,49,18000,1,31,49,8.9
Kolkata,2023-01-08,135,45,17000,0,18,45,22.9
Bengaluru,2023-01-08,97,29,19000,1,18,29,12.2
Hyderabad,2023-01-08,145,43,12000,0,24,43,1.1
Ahmedabad,2023-01-08,193,49,10000,0,31,49,3.6
Pune,2023-01-08,167,55,11000,1,33,55,4.1
Jaipur,2023-01-08,72,20,8000,0,33,20,2.2
Lucknow,2023-01-08,190,20,9000,0,32,20,1.9
Nagpur,2023-01-08,110,77,7500,1,32,77,3.0
Indore,2023-01-08,135,51,7000,0,11,51,3.1
Bhopal,2023-01-08,147,45,6500,0,9,45,0.5
Surat,2023-01-08,90,67,9500,0,16,67,0
Vadodara,2023-01-08,194,61,7800,0,28,61,0.9
Coimbatore,2023-01-08,82,53,8500,0,15,53,7.8
Kochi,2023-01-08,104,49,9200,0,29,49,13.1
Thiruvananthapuram,2023-01-08,232,63,8800,0,24,63,1.3
Visakhapatnam,2023-01-08,107,50,8000,0,28,50,4.0
Vijayawada,2023-01-08,171,74,7600,0,27,74,3.2
Guwahati,2023-01-08,51,69,6000,0,13,69,4.2
Patna,2023-01-08,112,60,8200,0,23,60,0
Ranchi,2023-01-08,143,40,5500,0,33,40,0
Bhubaneswar,2023-01-08,205,60,7000,0,30,60,2.9
Raipur,2023-01-08,282,69,6200,0,30,69,0
Chandigarh,2023-01-08,168,38,9800,0,19,38,1.5
Dehradun,2023-01-08,176,43,7200,0,9,43,2.5
Shimla,2023-01-08,48,60,5000,0,0,60,6.5
Srinagar,2023-01-08,147,53,6500,0,13,53,2.1
Jammu,2023-01-08,103,31,7800,1,32,31,5.4
Goa,2023-01-08,113,55,2500,0,22,55,1.3
Mangalore,2023-01-08,103,45,6800,0,25,45,8.2
Mysore,2023-01-08,257,40,7500,0,25,40,8.7
Pondicherry,2023-01-08,104,49,8000,0,27,49,4.8
Madurai,2023-01-08,225,59,7200,0,24,59,13.7
Mumbai,2023-01-09,243,73,20000,1,27,73,2.4
Delhi,2023-01-09,396,70,15000,1,33,70,3.1
Chennai,2023-01-09,132,55,18000,1,30,55,1.8
Kolkata,2023-01-09,128,55,17000,1,17,55,13.3
Bengaluru,2023-01-09,107,38,19000,0,20,38,3.6
Hyderabad,2023-01-09,54,28,12000,0,20,28,4.0
Ahmedabad,2023-01-09,50,63,10000,0,29,63,1.6
Pune,2023-01-09,107,40,11000,1,14,40,5.7
Jaipur,2023-01-09,35,20,8000,0,31,20,2.2
Lucknow,2023-01-09,55,59,9000,0,12,59,2.4
Nagpur,2023-01-09,102,55,7500,0,22,55,0
Indore,2023-01-09,334,53,7000,0,33,53,0
Bhopal,2023-01-09,157,21,6500,0,16,21,0
Surat,2023-01-09,157,37,9500,0,18,37,0
Vadodara,2023-01-09,50,32,7800,0,23,32,2.7
Coimbatore,2023-01-09,75,41,8500,0,20,41,11.1
Kochi,2023-01-09,167,73,9200,1,21,73,9.1
Thiruvananthapuram,2023-01-09,122,54,8800,0,20,54,10.3
Visakhapatnam,2023-01-09,120,66,8000,0,22,66,7.9
Vijayawada,2023-01-09,317,55,7600,0,34,55,1.2
Guwahati,2023-01-09,238,49,6000,0,12,49,7.9
Patna,2023-01-09,164,44,8200,0,10,44,0
Ranchi,2023-01-09,113,49,5500,0,31,49,1.8
Bhubaneswar,2023-01-09,107,66,7000,0,24,66,1.9
Raipur,2023-01-09,122,60,6200,0,29,60,1.0
Chandigarh,2023-01-09,206,26,9800,0,27,26,1.9
Dehradun,2023-01-09,239,37,7200,0,2,37,1.7
Shimla,2023-01-09,164,45,5000,0,11,45,3.4
Srinagar,2023-01-09,103,46,6500,0,5,46,8.4
Jammu,2023-01-09,154,69,7800,0,18,69,1.2
Goa,2023-01-09,142,60,2500,0,21,60,8.2
Mangalore,2023-01-09,99,47,6800,0,26,47,10.1
Mysore,2023-01-09,193,51,7500,0,13,51,9.2
Pondicherry,2023-01-09,193,71,8000,0,26,71,3.4
Madurai,2023-01-09,166,40,7200,0,25,40,17.1
Mumbai,2023-01-10,295,75,20000,1,30,75,11.2
Delhi,2023-01-10,65,31,15000,0,27,31,3.3
Chennai,2023-01-10,103,48,18000,1,27,48,12.2
Kolkata,2023-01-10,115,44,17000,1,30,44,16.2
Bengaluru,2023-01-10,255,31,19000,1,16,31,10.8
Hyderabad,2023-01-10,278,58,12000,1,31,58,5.0
Ahmedabad,2023-01-10,132,26,10000,0,32,26,2.4
Pune,2023-01-10,316,67,11000,1,31,67,4.4
Jaipur,2023-01-10,274,23,8000,0,36,23,0.6
Lucknow,2023-01-10,127,68,9000,0,25,68,0
Nagpur,2023-01-10,223,43,7500,0,39,43,0.9
Indore,2023-01-10,156,44,7000,0,23,44,1.6
Bhopal,2023-01-10,207,69,6500,0,34,69,2.8
Surat,2023-01-10,257,65,9500,0,25,65,0
Vadodara,2023-01-10,165,69,7800,0,16,69,3.9
Coimbatore,2023-01-10,139,56,8500,0,19,56,13.8
Kochi,2023-01-10,82,61,9200,0,22,61,13.0
Thiruvananthapuram,2023-01-10,31,61,8800,0,20,61,6.9
Visakhapatnam,2023-01-10,38,74,8000,0,27,74,0
Vijayawada,2023-01-10,259,27,7600,0,34,27,2.4
Guwahati,2023-01-10,232,71,6000,1,17,71,13.5
Patna,2023-01-10,266,61,8200,0,21,61,0.5
Ranchi,2023-01-10,43,53,5500,0,31,53,0.7
Bhubaneswar,2023-01-10,97,65,7000,0,34,65,3.7
Raipur,2023-01-10,167,42,6200,0,15,42,0
Chandigarh,2023-01-10,173,35,9800,0,15,35,0.1
Dehradun,2023-01-10,306,70,7200,0,4,70,0
Shimla,2023-01-10,38,28,5000,0,4,28,0.3
Srinagar,2023-01-10,49,51,6500,0,0,51,2.6
Jammu,2023-01-10,101,26,7800,0,15,26,0.2
Goa,2023-01-10,274,59,2500,0,24,59,13.5
Mangalore,2023-01-10,129,56,6800,0,25,56,12.9
Mysore,2023-01-10,137,29,7500,0,22,29,10.5
Pondicherry,2023-01-10,161,50,8000,0,21,50,7.1
Madurai,2023-01-10,79,44,7200,0,31,44,0
Mumbai,2023-01-11,266,53,20000,1,23,53,12.7
Delhi,2023-01-11,228,46,15000,0,21,46,0
Chennai,2023-01-11,272,62,18000,1,35,62,2.9
Kolkata,2023-01-11,275,71,17000,1,24,71,9.2
Bengaluru,2023-01-11,124,30,19000,0,21,30,3.2
Hyderabad,2023-01-11,179,35,12000,1,40,35,3.4
Ahmedabad,2023-01-11,81,73,10000,0,20,73,0.9
Pune,2023-01-11,94,32,11000,0,25,32,4.0
Jaipur,2023-01-11,83,20,8000,0,17,20,0
Lucknow,2023-01-11,247,50,9000,0,36,50,3.8
Nagpur,2023-01-11,252,29,7500,0,21,29,0
Indore,2023-01-11,140,20,7000,0,13,20,0.2
Bhopal,2023-01-11,262,22,6500,0,25,22,0.8
Surat,2023-01-11,109,46,9500,0,22,46,0
Vadodara,2023-01-11,100,65,7800,0,24,65,3.3
Coimbatore,2023-01-11,74,59,8500,0,25,59,8.4
Kochi,2023-01-11,47,49,9200,0,20,49,17.2
Thiruvananthapuram,2023-01-11,225,71,8800,1,18,71,12.3
Visakhapatnam,2023-01-11,129,68,8000,0,28,68,0.2
Vijayawada,2023-01-11,314,64,7600,0,35,64,2.8
Guwahati,2023-01-11,60,62,6000,0,29,62,2.3
Patna,2023-01-11,195,29,8200,0,18,29,3.8
Ranchi,2023-01-11,171,34,5500,0,18,34,4.6
Bhubaneswar,2023-01-11,76,60,7000,0,15,60,8.8
Raipur,2023-01-11,146,20,6200,0,24,20,0.2
Chandigarh,2023-01-11,151,64,9800,0,18,64,0.8
Dehradun,2023-01-11,64,62,7200,0,7,62,3.8
Shimla,2023-01-11,121,33,5000,0,19,33,5.3
Srinagar,2023-01-11,83,63,6500,0,0,63,9.1
Jammu,2023-01-11,117,60,7800,0,24,60,4.3
Goa,2023-01-11,47,70,2500,1,16,70,9.5
Mangalore,2023-01-11,235,51,6800,0,12,51,12.4
Mysore,2023-01-11,203,45,7500,0,24,45,10.0
Pondicherry,2023-01-11,205,49,8000,0,20,49,0
Madurai,2023-01-11,168,56,7200,0,29,56,10.9
Mumbai,2023-01-12,107,47,20000,0,25,47,0.6
Delhi,2023-01-12,280,42,15000,0,25,42,2.2
Chennai,2023-01-12,270,55,18000,0,19,55,0
Kolkata,2023-01-12,65,57,17000,0,24,57,23.8
Bengaluru,2023-01-12,158,39,19000,0,21,39,1.8
Hyderabad,2023-01-12,169,57,12000,0,23,57,1.4
Ahmedabad,2023-01-12,147,20,10000,0,40,20,0
Pune,2023-01-12,37,45,11000,0,28,45,1.0
Jaipur,2023-01-12,332,26,8000,0,33,26,0.5
Lucknow,2023-01-12,83,38,9000,0,13,38,3.7
Nagpur,2023-01-12,105,21,7500,0,21,21,2.3
Indore,2023-01-12,54,33,7000,0,11,33,1.6
Bhopal,2023-01-12,169,28,6500,0,35,28,0.8
Surat,2023-01-12,138,36,9500,0,20,36,3.2
Vadodara,2023-01-12,64,45,7800,0,25,45,3.5
Coimbatore,2023-01-12,144,53,8500,0,20,53,7.2
Kochi,2023-01-12,103,78,9200,0,22,78,1.7
Thiruvananthapuram,2023-01-12,146,44,8800,0,19,44,18.7
Visakhapatnam,2023-01-12,132,69,8000,0,27,69,5.7
Vijayawada,2023-01-12,86,27,7600,0,34,27,3.4
Guwahati,2023-01-12,71,65,6000,0,21,65,5.5
Patna,2023-01-12,52,66,8200,0,13,66,4.9
Ranchi,2023-01-12,141,46,5500,0,17,46,8.6
Bhubaneswar,2023-01-12,162,55,7000,0,15,55,8.8
Raipur,2023-01-12,164,37,6200,0,13,37,2.4
Chandigarh,2023-01-12,141,48,9800,0,34,48,0.5
Dehradun,2023-01-12,231,46,7200,0,16,46,4.4
Shimla,2023-01-12,84,53,5000,0,0,53,7.3
Srinagar,2023-01-12,262,70,6500,1,3,70,8.6
Jammu,2023-01-12,121,57,7800,0,0,57,2.0
Goa,2023-01-12,154,71,2500,1,19,71,8.4
Mangalore,2023-01-12,65,59,6800,0,21,59,7.7
Mysore,2023-01-12,188,35,7500,0,25,35,2.9
Pondicherry,2023-01-12,47,67,8000,0,30,67,4.8
Madurai,2023-01-12,119,40,7200,0,25,40,7.6
Mumbai,2023-01-13,181,63,20000,0,23,63,1.4
Delhi,2023-01-13,399,71,15000,1,36,71,3.2
Chennai,2023-01-13,215,49,18000,0,29,49,0.1
Kolkata,2023-01-13,160,51,17000,0,26,51,20.3
Bengaluru,2023-01-13,200,22,19000,1,24,22,6.4
Hyderabad,2023-01-13,257,25,12000,1,36,25,6.2
Ahmedabad,2023-01-13,164,42,10000,0,27,42,2.8
Pune,2023-01-13,149,20,11000,0,25,20,2.9
Jaipur,2023-01-13,71,45,8000,0,9,45,1.1
Lucknow,2023-01-13,151,59,9000,0,11,59,3.1
Nagpur,2023-01-13,192,44,7500,0,26,44,1.6
Indore,2023-01-13,71,60,7000,0,15,60,3.9
Bhopal,2023-01-13,60,73,6500,1,31,73,0
Surat,2023-01-13,87,59,9500,0,23,59,3.2
Vadodara,2023-01-13,195,44,7800,0,33,44,2.9
Coimbatore,2023-01-13,247,62,8500,0,27,62,7.6
Kochi,2023-01-13,54,42,9200,0,24,42,7.8
Thiruvananthapuram,2023-01-13,223,57,8800,0,20,57,6.6
Visakhapatnam,2023-01-13,123,67,8000,1,31,67,8.2
Vijayawada,2023-01-13,226,33,7600,0,24,33,4.3
Guwahati,2023-01-13,116,52,6000,0,12,52,12.7
Patna,2023-01-13,175,41,8200,0,34,41,4.9
Ranchi,2023-01-13,191,72,5500,1,30,72,2.3
Bhubaneswar,2023-01-13,105,39,7000,0,23,39,3.7
Raipur,2023-01-13,115,68,6200,0,19,68,2.3
Chandigarh,2023-01-13,240,58,9800,0,18,58,2.8
Dehradun,2023-01-13,54,48,7200,0,25,48,0.7
Shimla,2023-01-13,234,32,5000,0,7,32,0.3
Srinagar,2023-01-13,77,70,6500,1,5,70,6.3
Jammu,2023-01-13,129,37,7800,0,32,37,2.7
Goa,2023-01-13,230,55,2500,0,21,55,9.2
Mangalore,2023-01-13,69,55,6800,0,29,55,16.2
Mysore,2023-01-13,131,59,7500,0,24,59,9.4
Pondicherry,2023-01-13,39,68,8000,0,25,68,0.3
Madurai,2023-01-13,217,37,7200,0,23,37,7.2
Mumbai,2023-01-14,151,77,20000,1,31,77,8.1
Delhi,2023-01-14,36,36,15000,0,20,36,0
Chennai,2023-01-14,208,58,18000,1,23,58,7.1
Kolkata,2023-01-14,65,46,17000,1,15,46,14.2
Bengaluru,2023-01-14,100,33,19000,0,25,33,1.9
Hyderabad,2023-01-14,143,30,12000,1,16,30,6.0
Ahmedabad,2023-01-14,166,20,10000,0,33,20,4.3
Pune,2023-01-14,97,35,11000,1,31,35,4.8
Jaipur,2023-01-14,181,36,8000,0,10,36,2.0
Lucknow,2023-01-14,167,41,9000,0,29,41,1.8
Nagpur,2023-01-14,227,28,7500,0,18,28,4.1
Indore,2023-01-14,256,68,7000,0,11,68,0
Bhopal,2023-01-14,128,34,6500,0,11,34,1.0
Surat,2023-01-14,60,41,9500,0,30,41,2.5
Vadodara,2023-01-14,49,65,7800,0,17,65,0.9
Coimbatore,2023-01-14,220,30,8500,0,17,30,11.5
Kochi,2023-01-14,77,67,9200,0,27,67,3.7
Thiruvananthapuram,2023-01-14,69,46,8800,0,18,46,0
Visakhapatnam,2023-01-14,132,68,8000,0,25,68,8.3
Vijayawada,2023-01-14,90,44,7600,1,38,44,8.5
Guwahati,2023-01-14,369,72,6000,1,23,72,11.7
Patna,2023-01-14,134,42,8200,0,16,42,5.0
Ranchi,2023-01-14,211,72,5500,1,10,72,5.6
Bhubaneswar,2023-01-14,125,39,7000,0,20,39,0
Raipur,2023-01-14,217,35,6200,0,17,35,0.2
Chandigarh,2023-01-14,125,22,9800,0,29,22,0.5
Dehradun,2023-01-14,352,77,7200,0,0,77,0.9
Shimla,2023-01-14,77,21,5000,0,12,21,2.7
Srinagar,2023-01-14,91,70,6500,0,0,70,3.6
Jammu,2023-01-14,280,20,7800,0,4,20,0.1
Goa,2023-01-14,62,67,2500,0,18,67,2.6
Mangalore,2023-01-14,275,77,6800,0,27,77,16.1
Mysore,2023-01-14,75,49,7500,0,15,49,10.3
Pondicherry,2023-01-14,168,62,8000,0,20,62,9.7
Madurai,2023-01-14,188,45,7200,0,23,45,5.7
Mumbai,2023-01-15,143,52,20000,0,27,52,3.7
Delhi,2023-01-15,68,59,15000,1,34,59,3.2
Chennai,2023-01-15,249,58,18000,1,29,58,12.6
Kolkata,2023-01-15,260,71,17000,1,32,71,11.3
Bengaluru,2023-01-15,71,73,19000,1,21,73,2.3
Hyderabad,2023-01-15,201,29,12000,1,34,29,0.2
Ahmedabad,2023-01-15,28,60,10000,0,18,60,4.2
Pune,2023-01-15,199,43,11000,0,18,43,3.4
Jaipur,2023-01-15,150,64,8000,0,36,64,1.1
Lucknow,2023-01-15,37,61,9000,0,31,61,1.6
Nagpur,2023-01-15,240,46,7500,0,19,46,1.0
Indore,2023-01-15,104,36,7000,0,23,36,0
Bhopal,2023-01-15,99,22,6500,0,18,22,0
Surat,2023-01-15,162,28,9500,0,14,28,1.2
Vadodara,2023-01-15,233,51,7800,0,22,51,0
Coimbatore,2023-01-15,99,62,8500,0,27,62,6.4
Kochi,2023-01-15,47,57,9200,1,30,57,13.1
Thiruvananthapuram,2023-01-15,36,53,8800,0,29,53,16.5
Visakhapatnam,2023-01-15,229,77,8000,1,35,77,3.5
Vijayawada,2023-01-15,139,72,7600,0,27,72,0
Guwahati,2023-01-15,113,47,6000,0,23,47,1.1
Patna,2023-01-15,108,58,8200,0,17,58,1.9
Ranchi,2023-01-15,59,51,5500,0,26,51,7.4
Bhubaneswar,2023-01-15,203,45,7000,0,17,45,0.3
Raipur,2023-01-15,41,55,6200,0,28,55,0.0
Chandigarh,2023-01-15,160,22,9800,0,32,22,1.0
Dehradun,2023-01-15,235,38,7200,0,8,38,2.9
Shimla,2023-01-15,38,50,5000,0,4,50,6.9
Srinagar,2023-01-15,53,40,6500,0,11,40,4.3
Jammu,2023-01-15,55,58,7800,0,26,58,0
Goa,2023-01-15,106,52,2500,0,18,52,14.1
Mangalore,2023-01-15,166,49,6800,0,27,49,5.7
Mysore,2023-01-15,85,37,7500,0,28,37,0
Pondicherry,2023-01-15,228,69,8000,0,28,69,1.0
Madurai,2023-01-15,39,41,7200,0,32,41,1.0
Mumbai,2023-01-16,160,60,20000,1,28,60,5.0
Delhi,2023-01-16,191,48,15000,0,27,48,0
Chennai,2023-01-16,210,75,18000,1,21,75,0.0
Kolkata,2023-01-16,134,55,17000,1,19,55,10.1
