Region,Date,NewCases,Humidity,PopulationDensity,OutbreakRisk
Hyderabad,2023-01-04,111,26,12000,0
Ahmedabad,2023-01-04,56,25,10000,0
Pune,2023-01-04,216,32,11000,0
Jaipur,2023-01-04,205,20,8000,0
Lucknow,2023-01-04,85,32,9000,0
Nagpur,2023-01-04,171,40,7500,0
Indore,2023-01-04,107,43,7000,0
Bhopal,2023-01-04,111,44,6500,0
Surat,2023-01-04,142,28,9500,0
Vadodara,2023-01-04,42,30,7800,0
Coimbatore,2023-01-04,153,52,8500,0
Kochi,2023-01-04,101,65,9200,0
Thiruvananthapuram,2023-01-04,49,59,8800,0
Visakhapatnam,2023-01-04,57,52,8000,1
Vijayawada,2023-01-04,86,35,7600,0
Guwahati,2023-01-04,52,51,6000,0
Patna,2023-01-04,57,42,8200,0
Ranchi,2023-01-04,129,32,5500,0
Bhubaneswar,2023-01-04,269,68,7000,0
Raipur,2023-01-04,150,34,6200,0
Chandigarh,2023-01-04,126,62,9800,0
Dehradun,2023-01-04,72,36,7200,0
Shimla,2023-01-04,164,29,5000,0
Srinagar,2023-01-04,133,49,6500,0
Jammu,2023-01-04,137,52,7800,0
Goa,2023-01-04,144,65,2500,0
Mangalore,2023-01-04,163,54,6800,0
Mysore,2023-01-04,73,49,7500,0
Pondicherry,2023-01-04,208,70,8000,0
Madurai,2023-01-04,211,50,7200,1
Mumbai,2023-01-05,74,58,20000,0
Delhi,2023-01-05,208,28,15000,1
Chennai,2023-01-05,270,66,18000,1
Kolkata,2023-01-05,154,61,17000,1
Bengaluru,2023-01-05,220,46,19000,1
Hyderabad,2023-01-05,127,56,12000,0
Ahmedabad,2023-01-05,70,31,10000,0
Pune,2023-01-05,118,32,11000,0
Jaipur,2023-01-05,44,23,8000,0
Lucknow,2023-01-05,122,22,9000,0
Nagpur,2023-01-05,29,63,7500,0
Indore,2023-01-05,57,24,7000,0
Bhopal,2023-01-05,51,23,6500,0
Surat,2023-01-05,71,34,9500,0
Vadodara,2023-01-05,49,56,7800,0
Coimbatore,2023-01-05,54,50,8500,0
Kochi,2023-01-05,204,55,9200,0
Thiruvananthapuram,2023-01-05,244,49,8800,0
Visakhapatnam,2023-01-05,116,49,8000,0
Vijayawada,2023-01-05,174,55,7600,0
Guwahati,2023-01-05,132,62,6000,0
Patna,2023-01-05,47,67,8200,0
Ranchi,2023-01-05,49,54,5500,0
Bhubaneswar,2023-01-05,41,60,7000,0
Raipur,2023-01-05,228,35,6200,0
Chandigarh,2023-01-05,100,20,9800,0
Dehradun,2023-01-05,212,62,7200,0
Shimla,2023-01-05,128,46,5000,0
Srinagar,2023-01-05,53,78,6500,0
Jammu,2023-01-05,136,70,7800,0
Goa,2023-01-05,67,73,2500,0
Mangalore,2023-01-05,274,75,6800,1
Mysore,2023-01-05,202,49,7500,0
Pondicherry,2023-01-05,122,54,8000,0
Madurai,2023-01-05,105,64,7200,1
Mumbai,2023-01-06,200,43,20000,1
Delhi,2023-01-06,98,32,15000,0
Chennai,2023-01-06,316,48,18000,1
Kolkata,2023-01-06,205,44,17000,1
Bengaluru,2023-01-06,100,62,19000,0
Hyderabad,2023-01-06,107,20,12000,1
Ahmedabad,2023-01-06,122,24,10000,0
Pune,2023-01-06,201,59,11000,1
Jaipur,2023-01-06,58,20,8000,0
Lucknow,2023-01-06,197,34,9000,0
Nagpur,2023-01-06,85,52,7500,0
Indore,2023-01-06,77,57,7000,0
Bhopal,2023-01-06,95,33,6500,0
Surat,2023-01-06,143,45,9500,0
Vadodara,2023-01-06,76,26,7800,0
Coimbatore,2023-01-06,102,64,8500,0
Kochi,2023-01-06,278,54,9200,0
Thiruvananthapuram,2023-01-06,38,52,8800,0
Visakhapatnam,2023-01-06,39,66,8000,0
Vijayawada,2023-01-06,200,75,7600,1
Guwahati,2023-01-06,229,70,6000,1
Patna,2023-01-06,174,59,8200,0
Ranchi,2023-01-06,76,52,5500,0
Bhubaneswar,2023-01-06,187,38,7000,0
Raipur,2023-01-06,61,55,6200,0
Chandigarh,2023-01-06,120,25,9800,0
Dehradun,2023-01-06,209,67,7200,0
Shimla,2023-01-06,105,47,5000,0
Srinagar,2023-01-06,59,36,6500,0
Jammu,2023-01-06,258,25,7800,0
Goa,2023-01-06,99,55,2500,0
Mangalore,2023-01-06,48,66,6800,0
Mysore,2023-01-06,104,51,7500,0
Pondicherry,2023-01-06,200,61,8000,0
Madurai,2023-01-06,210,65,7200,0
Mumbai,2023-01-07,104,49,20000,0
Delhi,2023-01-07,78,61,15000,0
Chennai,2023-01-07,145,73,18000,1
Kolkata,2023-01-07,249,44,17000,0
Bengaluru,2023-01-07,63,41,19000,0
Hyderabad,2023-01-07,134,41,12000,1
Ahmedabad,2023-01-07,119,68,10000,0
Pune,2023-01-07,126,62,11000,1
Jaipur,2023-01-07,147,20,8000,0
Lucknow,2023-01-07,295,70,9000,0
Nagpur,2023-01-07,128,45,7500,0
Indore,2023-01-07,233,62,7000,0
Bhopal,2023-01-07,97,23,6500,0
Surat,2023-01-07,113,39,9500,0
Vadodara,2023-01-07,52,57,7800,0
Coimbatore,2023-01-07,85,29,8500,0
Kochi,2023-01-07,101,50,9200,0
Thiruvananthapuram,2023-01-07,88,58,8800,0
Visakhapatnam,2023-01-07,117,67,8000,0
Vijayawada,2023-01-07,183,75,7600,1
Guwahati,2023-01-07,96,58,6000,0
Patna,2023-01-07,166,51,8200,0
Ranchi,2023-01-07,61,75,5500,0
Bhubaneswar,2023-01-07,245,42,7000,0
Raipur,2023-01-07,173,71,6200,0
Chandigarh,2023-01-07,226,56,9800,0
Dehradun,2023-01-07,176,55,7200,0
Shimla,2023-01-07,74,34,5000,0
Srinagar,2023-01-07,185,42,6500,0
Jammu,2023-01-07,28,32,7800,0
Goa,2023-01-07,211,54,2500,0
Mangalore,2023-01-07,243,70,6800,1
Mysore,2023-01-07,97,51,7500,0
Pondicherry,2023-01-07,113,62,8000,0
Madurai,2023-01-07,254,49,7200,0
Mumbai,2023-01-08,187,70,20000,1
Delhi,2023-01-08,55,54,15000,0
Chennai,2023-01-08,144,49,18000,1
Kolkata,2023-01-08,135,45,17000,0
Bengaluru,2023-01-08,97,29,19000,1
Hyderabad,2023-01-08,145,43,12000,0
Ahmedabad,2023-01-08,193,49,10000,0
Pune,2023-01-08,167,55,11000,1
Jaipur,2023-01-08,72,20,8000,0
Lucknow,2023-01-08,190,20,9000,0
Nagpur,2023-01-08,110,77,7500,1
Indore,2023-01-08,135,51,7000,0
Bhopal,2023-01-08,147,45,6500,0
Surat,2023-01-08,90,67,9500,0
Vadodara,2023-01-08,194,61,7800,0
Coimbatore,2023-01-08,82,53,8500,0
Kochi,2023-01-08,104,49,9200,0
Thiruvananthapuram,2023-01-08,232,63,8800,0
Visakhapatnam,2023-01-08,107,50,8000,0
Vijayawada,2023-01-08,171,74,7600,0
Guwahati,2023-01-08,51,69,6000,0
Patna,2023-01-08,112,60,8200,0
Ranchi,2023-01-08,143,40,5500,0
Bhubaneswar,2023-01-08,205,60,7000,0
Raipur,2023-01-08,282,69,6200,0
Chandigarh,2023-01-08,168,38,9800,0
Dehradun,2023-01-08,176,43,7200,0
Shimla,2023-01-08,48,60,5000,0
Srinagar,2023-01-08,147,53,6500,0
Jammu,2023-01-08,103,31,7800,1
Goa,2023-01-08,113,55,2500,0
Mangalore,2023-01-08,103,45,6800,0
Mysore,2023-01-08,257,40,7500,0
Pondicherry,2023-01-08,104,49,8000,0
Madurai,2023-01-08,225,59,7200,0
Mumbai,2023-01-09,243,73,20000,1
Delhi,2023-01-09,396,70,15000,1
Chennai,2023-01-09,132,55,18000,1
Kolkata,2023-01-09,128,55,17000,1
Bengaluru,2023-01-09,107,38,19000,0
Hyderabad,2023-01-09,54,28,12000,0
Ahmedabad,2023-01-09,50,63,10000,0
Pune,2023-01-09,107,40,11000,1
Jaipur,2023-01-09,35,20,8000,0
Lucknow,2023-01-09,55,59,9000,0
Nagpur,2023-01-09,102,55,7500,0
Indore,2023-01-09,334,53,7000,0
Bhopal,2023-01-09,157,21,6500,0
Surat,2023-01-09,157,37,9500,0
Vadodara,2023-01-09,50,32,7800,0
Coimbatore,2023-01-09,75,41,8500,0
Kochi,2023-01-09,167,73,9200,1
Thiruvananthapuram,2023-01-09,122,54,8800,0
Visakhapatnam,2023-01-09,120,66,8000,0
Vijayawada,2023-01-09,317,55,7600,0
Guwahati,2023-01-09,238,49,6000,0
Patna,2023-01-09,164,44,8200,0
Ranchi,2023-01-09,113,49,5500,0
Bhubaneswar,2023-01-09,107,66,7000,0
Raipur,2023-01-09,122,60,6200,0
Chandigarh,2023-01-09,206,26,9800,0
Dehradun,2023-01-09,239,37,7200,0
Shimla,2023-01-09,164,45,5000,0
Srinagar,2023-01-09,103,46,6500,0
Jammu,2023-01-09,154,69,7800,0
Goa,2023-01-09,142,60,2500,0
Mangalore,2023-01-09,99,47,6800,0
Mysore,2023-01-09,193,51,7500,0
Pondicherry,2023-01-09,193,71,8000,0
Madurai,2023-01-09,166,40,7200,0
Mumbai,2023-01-10,295,75,20000,1
Delhi,2023-01-10,65,31,15000,0
Chennai,2023-01-10,103,48,18000,1
Kolkata,2023-01-10,115,44,17000,1
Bengaluru,2023-01-10,255,31,19000,1
Hyderabad,2023-01-10,278,58,12000,1
Ahmedabad,2023-01-10,132,26,10000,0
Pune,2023-01-10,316,67,11000,1
Jaipur,2023-01-10,274,23,8000,0
Lucknow,2023-01-10,127,68,9000,0
Nagpur,2023-01-10,223,43,7500,0
Indore,2023-01-10,156,44,7000,0
Bhopal,2023-01-10,207,69,6500,0
Surat,2023-01-10,257,65,9500,0
Vadodara,2023-01-10,165,69,7800,0
Coimbatore,2023-01-10,139,56,8500,0
Kochi,2023-01-10,82,61,9200,0
Thiruvananthapuram,2023-01-10,31,61,8800,0
Visakhapatnam,2023-01-10,38,74,8000,0
Vijayawada,2023-01-10,259,27,7600,0
Guwahati,2023-01-10,232,71,6000,1
Patna,2023-01-10,266,61,8200,0
Ranchi,2023-01-10,43,53,5500,0
Bhubaneswar,2023-01-10,97,65,7000,0
Raipur,2023-01-10,167,42,6200,0
Chandigarh,2023-01-10,173,35,9800,0
Dehradun,2023-01-10,306,70,7200,0
Shimla,2023-01-10,38,28,5000,0
Srinagar,2023-01-10,49,51,6500,0
Jammu,2023-01-10,101,26,7800,0
Goa,2023-01-10,274,59,2500,0
Mangalore,2023-01-10,129,56,6800,0
Mysore,2023-01-10,137,29,7500,0
Pondicherry,2023-01-10,161,50,8000,0
Madurai,2023-01-10,79,44,7200,0
Mumbai,2023-01-11,266,53,20000,1
Delhi,2023-01-11,228,46,15000,0
Chennai,2023-01-11,272,62,18000,1
Kolkata,2023-01-11,275,71,17000,1
Bengaluru,2023-01-11,124,30,19000,0
Hyderabad,2023-01-11,179,35,12000,1
Ahmedabad,2023-01-11,81,73,10000,0
Pune,2023-01-11,94,32,11000,0
Jaipur,2023-01-11,83,20,8000,0
Lucknow,2023-01-11,247,50,9000,0
Nagpur,2023-01-11,252,29,7500,0
Indore,2023-01-11,140,20,7000,0
Bhopal,2023-01-11,262,22,6500,0
Surat,2023-01-11,109,46,9500,0
Vadodara,2023-01-11,100,65,7800,0
Coimbatore,2023-01-11,74,59,8500,0
Kochi,2023-01-11,47,49,9200,0
Thiruvananthapuram,2023-01-11,225,71,8800,1
Visakhapatnam,2023-01-11,129,68,8000,0
Vijayawada,2023-01-11,314,64,7600,0
Guwahati,2023-01-11,60,62,6000,0
Patna,2023-01-11,195,29,8200,0
Ranchi,2023-01-11,171,34,5500,0
Bhubaneswar,2023-01-11,76,60,7000,0
Raipur,2023-01-11,146,20,6200,0
Chandigarh,2023-01-11,151,64,9800,0
Dehradun,2023-01-11,64,62,7200,0
Shimla,2023-01-11,121,33,5000,0
Srinagar,2023-01-11,83,63,6500,0
Jammu,2023-01-11,117,60,7800,0
Goa,2023-01-11,47,70,2500,1
Mangalore,2023-01-11,235,51,6800,0
Mysore,2023-01-11,203,45,7500,0
Pondicherry,2023-01-11,205,49,8000,0
Madurai,2023-01-11,168,56,7200,0
Mumbai,2023-01-12,107,47,20000,0
Delhi,2023-01-12,280,42,15000,0
Chennai,2023-01-12,270,55,18000,0
Kolkata,2023-01-12,65,57,17000,0
Bengaluru,2023-01-12,158,39,19000,0
Hyderabad,2023-01-12,169,57,12000,0
Ahmedabad,2023-01-12,147,20,10000,0
Pune,2023-01-12,37,45,11000,0
Jaipur,2023-01-12,332,26,8000,0
Lucknow,2023-01-12,83,38,9000,0
Nagpur,2023-01-12,105,21,7500,0
Indore,2023-01-12,54,33,7000,0
Bhopal,2023-01-12,169,28,6500,0
Surat,2023-01-12,138,36,9500,0
Vadodara,2023-01-12,64,45,7800,0
Coimbatore,2023-01-12,144,53,8500,0
Kochi,2023-01-12,103,78,9200,0
Thiruvananthapuram,2023-01-12,146,44,8800,0
Visakhapatnam,2023-01-12,132,69,8000,0
Vijayawada,2023-01-12,86,27,7600,0
Guwahati,2023-01-12,71,65,6000,0
Patna,2023-01-12,52,66,8200,0
Ranchi,2023-01-12,141,46,5500,0
Bhubaneswar,2023-01-12,162,55,7000,0
Raipur,2023-01-12,164,37,6200,0
Chandigarh,2023-01-12,141,48,9800,0
Dehradun,2023-01-12,231,46,7200,0
Shimla,2023-01-12,84,53,5000,0
Srinagar,2023-01-12,262,70,6500,1
Jammu,2023-01-12,121,57,7800,0
Goa,2023-01-12,154,71,2500,1
Mangalore,2023-01-12,65,59,6800,0
Mysore,2023-01-12,188,35,7500,0
Pondicherry,2023-01-12,47,67,8000,0
Madurai,2023-01-12,119,40,7200,0
Mumbai,2023-01-13,181,63,20000,0
Delhi,2023-01-13,399,71,15000,1
Chennai,2023-01-13,215,49,18000,0
Kolkata,2023-01-13,160,51,17000,0
Bengaluru,2023-01-13,200,22,19000,1
Hyderabad,2023-01-13,257,25,12000,1
Ahmedabad,2023-01-13,164,42,10000,0
Pune,2023-01-13,149,20,11000,0
Jaipur,2023-01-13,71,45,8000,0
Lucknow,2023-01-13,151,59,9000,0
Nagpur,2023-01-13,192,44,7500,0
Indore,2023-01-13,71,60,7000,0
Bhopal,2023-01-13,60,73,6500,1
Surat,2023-01-13,87,59,9500,0
Vadodara,2023-01-13,195,44,7800,0
Coimbatore,2023-01-13,247,62,8500,0
Kochi,2023-01-13,54,42,9200,0
Thiruvananthapuram,2023-01-13,223,57,8800,0
Visakhapatnam,2023-01-13,123,67,8000,1
Vijayawada,2023-01-13,226,33,7600,0
Guwahati,2023-01-13,116,52,6000,0
Patna,2023-01-13,175,41,8200,0
Ranchi,2023-01-13,191,72,5500,1
Bhubaneswar,2023-01-13,105,39,7000,0
Raipur,2023-01-13,115,68,6200,0
Chandigarh,2023-01-13,240,58,9800,0
Dehradun,2023-01-13,54,48,7200,0
Shimla,2023-01-13,234,32,5000,0
Srinagar,2023-01-13,77,70,6500,1
Jammu,2023-01-13,129,37,7800,0
Goa,2023-01-13,230,55,2500,0
Mangalore,2023-01-13,69,55,6800,0
Mysore,2023-01-13,131,59,7500,0
Pondicherry,2023-01-13,39,68,8000,0
Madurai,2023-01-13,217,37,7200,0
Mumbai,2023-01-14,151,77,20000,1
Delhi,2023-01-14,36,36,15000,0
Chennai,2023-01-14,208,58,18000,1
Kolkata,2023-01-14,65,46,17000,1
Bengaluru,2023-01-14,100,33,19000,0
Hyderabad,2023-01-14,143,30,12000,1
Ahmedabad,2023-01-14,166,20,10000,0
Pune,2023-01-14,97,35,11000,1
Jaipur,2023-01-14,181,36,8000,0
Lucknow,2023-01-14,167,41,9000,0
Nagpur,2023-01-14,227,28,7500,0
Indore,2023-01-14,256,68,7000,0
Bhopal,2023-01-14,128,34,6500,0
Surat,2023-01-14,60,41,9500,0
Vadodara,2023-01-14,49,65,7800,0
Coimbatore,2023-01-14,220,30,8500,0
Kochi,2023-01-14,77,67,9200,0
Thiruvananthapuram,2023-01-14,69,46,8800,0
Visakhapatnam,2023-01-14,132,68,8000,0
Vijayawada,2023-01-14,90,44,7600,1
Guwahati,2023-01-14,369,72,6000,1
Patna,2023-01-14,134,42,8200,0
Ranchi,2023-01-14,211,72,5500,1
Bhubaneswar,2023-01-14,125,39,7000,0
Raipur,2023-01-14,217,35,6200,0
Chandigarh,2023-01-14,125,22,9800,0
Dehradun,2023-01-14,352,77,7200,0
Shimla,2023-01-14,77,21,5000,0
Srinagar,2023-01-14,91,70,6500,0
Jammu,2023-01-14,280,20,7800,0
Goa,2023-01-14,62,67,2500,0
Mangalore,2023-01-14,275,77,6800,0
Mysore,2023-01-14,75,49,7500,0
Pondicherry,2023-01-14,168,62,8000,0
Madurai,2023-01-14,188,45,7200,0
Mumbai,2023-01-15,143,52,20000,0
Delhi,2023-01-15,68,59,15000,1
Chennai,2023-01-15,249,58,18000,1
Kolkata,2023-01-15,260,71,17000,1
Bengaluru,2023-01-15,71,73,19000,1
Hyderabad,2023-01-15,201,29,12000,1
Ahmedabad,2023-01-15,28,60,10000,0
Pune,2023-01-15,199,43,11000,0
Jaipur,2023-01-15,150,64,8000,0
Lucknow,2023-01-15,37,61,9000,0
Nagpur,2023-01-15,240,46,7500,0
Indore,2023-01-15,104,36,7000,0
Bhopal,2023-01-15,99,22,6500,0
Surat,2023-01-15,162,28,9500,0
Vadodara,2023-01-15,233,51,7800,0
Coimbatore,2023-01-15,99,62,8500,0
Kochi,2023-01-15,47,57,9200,1
Thiruvananthapuram,2023-01-15,36,53,8800,0
Visakhapatnam,2023-01-15,229,77,8000,1
Vijayawada,2023-01-15,139,72,7600,0
Guwahati,2023-01-15,113,47,6000,0
Patna,2023-01-15,108,58,8200,0
Ranchi,2023-01-15,59,51,5500,0
Bhubaneswar,2023-01-15,203,45,7000,0
Raipur,2023-01-15,41,55,6200,0
Chandigarh,2023-01-15,160,22,9800,0
Dehradun,2023-01-15,235,38,7200,0
Shimla,2023-01-15,38,50,5000,0
Srinagar,2023-01-15,53,40,6500,0
Jammu,2023-01-15,55,58,7800,0
Goa,2023-01-15,106,52,2500,0
Mangalore,2023-01-15,166,49,6800,0
Mysore,2023-01-15,85,37,7500,0
Pondicherry,2023-01-15,228,69,8000,0
Madurai,2023-01-15,39,41,7200,0
Mumbai,2023-01-16,160,60,20000,1
Delhi,2023-01-16,191,48,15000,0
Chennai,2023-01-16,210,75,18000,1
Kolkata,2023-01-16,134,55,17000,1
Bengaluru,2023-01-16,130,30,19000,1
Hyderabad,2023-01-16,67,64,12000,0
Ahmedabad,2023-01-16,53,37,10000,0
Pune,2023-01-16,183,67,11000,0
Jaipur,2023-01-16,67,20,8000,0
Lucknow,2023-01-16,76,62,9000,0
Nagpur,2023-01-16,174,25,7500,0
Indore,2023-01-16,93,62,7000,0
Bhopal,2023-01-16,46,61,6500,0
Surat,2023-01-16,116,61,9500,0
Vadodara,2023-01-16,187,53,7800,0
Coimbatore,2023-01-16,63,46,8500,0
Kochi,2023-01-16,39,56,9200,0
Thiruvananthapuram,2023-01-16,170,62,8800,0
Visakhapatnam,2023-01-16,129,70,8000,1
Vijayawada,2023-01-16,61,47,7600,0
Guwahati,2023-01-16,246,66,6000,0
Patna,2023-01-16,79,61,8200,0
Ranchi,2023-01-16,343,76,5500,1
Bhubaneswar,2023-01-16,134,57,7000,1
Raipur,2023-01-16,91,20,6200,0
Chandigarh,2023-01-16,29,43,9800,0
Dehradun,2023-01-16,210,47,7200,0
Shimla,2023-01-16,142,59,5000,0
Srinagar,2023-01-16,217,32,6500,0
Jammu,2023-01-16,54,49,7800,0
Goa,2023-01-16,89,48,2500,0
Mangalore,2023-01-16,220,65,6800,0
Mysore,2023-01-16,192,54,7500,0
Pondicherry,2023-01-16,70,64,8000,0
Madurai,2023-01-16,247,69,7200,1
Mumbai,2023-01-17,33,51,20000,0
Delhi,2023-01-17,182,71,15000,1
Chennai,2023-01-17,136,66,18000,0
Kolkata,2023-01-17,413,71,17000,1
Bengaluru,2023-01-17,91,28,19000,1
Hyderabad,2023-01-17,126,48,12000,0
Ahmedabad,2023-01-17,180,55,10000,0
Pune,2023-01-17,83,29,11000,0
Jaipur,2023-01-17,72,40,8000,0
Lucknow,2023-01-17,146,20,9000,0
Nagpur,2023-01-17,59,52,7500,0
Indore,2023-01-17,184,64,7000,0
Bhopal,2023-01-17,43,37,6500,0
Surat,2023-01-17,149,38,9500,0
Vadodara,2023-01-17,28,68,7800,0
Coimbatore,2023-01-17,149,46,8500,0
Kochi,2023-01-17,136,47,9200,0
Thiruvananthapuram,2023-01-17,174,60,8800,0
Visakhapatnam,2023-01-17,99,66,8000,0
Vijayawada,2023-01-17,155,33,7600,1
Guwahati,2023-01-17,92,65,6000,0
Patna,2023-01-17,168,63,8200,0
Ranchi,2023-01-17,187,70,5500,1
Bhubaneswar,2023-01-17,43,69,7000,0
Raipur,2023-01-17,126,71,6200,0
Chandigarh,2023-01-17,119,20,9800,0
Dehradun,2023-01-17,150,56,7200,0
Shimla,2023-01-17,208,68,5000,0
Srinagar,2023-01-17,263,36,6500,0
Jammu,2023-01-17,127,54,7800,0
Goa,2023-01-17,158,59,2500,0
Mangalore,2023-01-17,154,50,6800,0
Mysore,2023-01-17,212,40,7500,0
Pondicherry,2023-01-17,165,52,8000,0
Madurai,2023-01-17,142,42,7200,0
Mumbai,2023-01-18,77,74,20000,1
Delhi,2023-01-18,181,54,15000,1
Chennai,2023-01-18,235,44,18000,1
Kolkata,2023-01-18,387,49,17000,1
Bengaluru,2023-01-18,59,32,19000,1
Hyderabad,2023-01-18,83,50,12000,1
Ahmedabad,2023-01-18,55,20,10000,0
Pune,2023-01-18,133,53,11000,0
Jaipur,2023-01-18,65,41,8000,0
Lucknow,2023-01-18,119,61,9000,0
Nagpur,2023-01-18,96,20,7500,0
Indore,2023-01-18,238,40,7000,0
Bhopal,2023-01-18,94,28,6500,0
Surat,2023-01-18,154,22,9500,0
Vadodara,2023-01-18,192,29,7800,0
Coimbatore,2023-01-18,236,62,8500,0
Kochi,2023-01-18,149,56,9200,0
Thiruvananthapuram,2023-01-18,59,67,8800,0
Visakhapatnam,2023-01-18,125,73,8000,1
Vijayawada,2023-01-18,99,32,7600,0
Guwahati,2023-01-18,174,47,6000,0
Patna,2023-01-18,138,47,8200,0
Ranchi,2023-01-18,99,32,5500,0
Bhubaneswar,2023-01-18,172,52,7000,0
Raipur,2023-01-18,249,20,6200,1
Chandigarh,2023-01-18,158,51,9800,0
Dehradun,2023-01-18,58,41,7200,0
Shimla,2023-01-18,117,45,5000,0
Srinagar,2023-01-18,209,23,6500,0
Jammu,2023-01-18,210,68,7800,0
Goa,2023-01-18,182,73,2500,1
Mangalore,2023-01-18,50,71,6800,1
Mysore,2023-01-18,30,35,7500,0
Pondicherry,2023-01-18,44,58,8000,0
Madurai,2023-01-18,163,53,7200,0
Mumbai,2023-01-19,40,53,20000,1
Delhi,2023-01-19,73,56,15000,0
Chennai,2023-01-19,193,71,18000,1
Kolkata,2023-01-19,114,52,17000,1
Bengaluru,2023-01-19,133,49,19000,1
Hyderabad,2023-01-19,67,38,12000,0
Ahmedabad,2023-01-19,89,52,10000,0
Pune,2023-01-19,65,48,11000,0
Jaipur,2023-01-19,84,37,8000,0
Lucknow,2023-01-19,40,48,9000,0
Nagpur,2023-01-19,152,75,7500,1
Indore,2023-01-19,152,51,7000,0
Bhopal,2023-01-19,137,60,6500,0
Surat,2023-01-19,206,64,9500,0
Vadodara,2023-01-19,162,33,7800,0
Coimbatore,2023-01-19,82,34,8500,0
Kochi,2023-01-19,61,63,9200,0
Thiruvananthapuram,2023-01-19,228,60,8800,0
Visakhapatnam,2023-01-19,423,70,8000,1
Vijayawada,2023-01-19,63,60,7600,1
Guwahati,2023-01-19,112,61,6000,0
Patna,2023-01-19,138,39,8200,0
Ranchi,2023-01-19,131,53,5500,0
Bhubaneswar,2023-01-19,56,47,7000,0
Raipur,2023-01-19,278,70,6200,0
Chandigarh,2023-01-19,45,32,9800,0
Dehradun,2023-01-19,274,43,7200,0
Shimla,2023-01-19,152,51,5000,0
Srinagar,2023-01-19,151,50,6500,0
Jammu,2023-01-19,233,55,7800,0
Goa,2023-01-19,234,70,2500,1
Mangalore,2023-01-19,224,45,6800,0
Mysore,2023-01-19,134,43,7500,0
Pondicherry,2023-01-19,88,54,8000,0
Madurai,2023-01-19,117,47,7200,0
Mumbai,2023-01-20,286,49,20000,0
Delhi,2023-01-20,81,64,15000,1
Chennai,2023-01-20,115,63,18000,1
Kolkata,2023-01-20,338,74,17000,1
Bengaluru,2023-01-20,104,60,19000,1
Hyderabad,2023-01-20,201,65,12000,0
Ahmedabad,2023-01-20,55,65,10000,0
Pune,2023-01-20,366,76,11000,1
Jaipur,2023-01-20,250,32,8000,0
Lucknow,2023-01-20,71,73,9000,0
Nagpur,2023-01-20,254,26,7500,0
Indore,2023-01-20,82,47,7000,0
Bhopal,2023-01-20,94,37,6500,0
Surat,2023-01-20,246,63,9500,0
Vadodara,2023-01-20,64,47,7800,0
Coimbatore,2023-01-20,115,29,8500,0
Kochi,2023-01-20,140,48,9200,0
Thiruvananthapuram,2023-01-20,116,61,8800,0
Visakhapatnam,2023-01-20,159,45,8000,0
Vijayawada,2023-01-20,115,46,7600,0
Guwahati,2023-01-20,214,66,6000,0
Patna,2023-01-20,207,38,8200,0
Ranchi,2023-01-20,54,27,5500,0
Bhubaneswar,2023-01-20,147,52,7000,0
Raipur,2023-01-20,52,32,6200,0
Chandigarh,2023-01-20,63,60,9800,0
Dehradun,2023-01-20,233,70,7200,0
Shimla,2023-01-20,173,62,5000,0
Srinagar,2023-01-20,219,42,6500,0
Jammu,2023-01-20,128,64,7800,0
